Date,Price,Volume,CirSupply,Velocity,Valuation
2021-12-16,98.40,18736064,243190323,0.08,0.58
2021-12-17,111.01,22601976,243188990,0.09,0.96
2021-12-18,116.02,13704788,243187569,0.06,0.37
2021-12-19,107.67,9521331,243188891,0.04,0.17
2021-12-20,113.41,17765651,243200107,0.07,0.61
2021-12-21,123.33,14044132,243208092,0.06,0.41
2021-12-22,116.48,11622623,243209842,0.05,0.27
2021-12-23,121.21,10406537,243207737,0.04,0.22
2021-12-24,114.98,9888743,243211524,0.04,0.19
2021-12-25,115.03,7637459,243212898,0.03,0.11
2021-12-26,115.21,8361712,243236672,0.03,0.14
2021-12-27,113.60,8293187,243243548,0.03,0.13
2021-12-28,107.22,13392058,243242315,0.06,0.32
2021-12-29,103.00,10599263,243243024,0.04,0.20
2021-12-30,101.93,9966675,243245377,0.04,0.17
2021-12-31,109.27,12114295,243380616,0.05,0.27
2022-01-01,114.16,6870474,243568704,0.03,0.09
2022-01-02,113.19,6865249,243741538,0.03,0.09
2022-01-03,108.15,8272913,243750728,0.03,0.12
2022-01-04,103.24,8896941,243752497,0.04,0.14
2022-01-05,97.85,11945481,244014361,0.05,0.23
2022-01-06,95.20,9551213,244034521,0.04,0.15
2022-01-07,86.77,13407273,244060953,0.05,0.26
2022-01-08,84.06,12157897,244074330,0.05,0.21
2022-01-09,89.21,10089284,244080653,0.04,0.15
2022-01-10,84.53,13463483,244296607,0.06,0.26
2022-01-11,89.50,8036279,244303072,0.03,0.10
2022-01-12,95.82,10043885,244351455,0.04,0.16
2022-01-13,89.41,8465592,244353892,0.03,0.11
2022-01-14,90.34,7092465,244354426,0.03,0.08
2022-01-15,93.32,5511927,244357457,0.02,0.05
2022-01-16,92.24,5400841,244356241,0.02,0.05
2022-01-17,86.75,7077144,244351198,0.03,0.07
2022-01-18,86.01,6038996,244352649,0.02,0.05
2022-01-19,82.90,6498937,244348580,0.03,0.06
2022-01-20,79.07,3815010,244349649,0.02,0.02
2022-01-21,65.92,16097112,244358655,0.07,0.29
2022-01-22,59.73,22332153,244354045,0.09,0.50
2022-01-23,64.73,13858779,244834727,0.06,0.21
2022-01-24,62.88,18443790,244840790,0.08,0.36
2022-01-25,67.90,14640889,244841874,0.06,0.24
2022-01-26,66.00,17673892,244846197,0.07,0.34
2022-01-27,64.70,12347696,244852273,0.05,0.16
2022-01-28,67.13,9900085,244862989,0.04,0.11
2022-01-29,72.12,9672877,244861916,0.04,0.11
2022-01-30,67.97,7857413,244902000,0.03,0.07
2022-01-31,69.99,10006943,244996078,0.04,0.12
2022-02-01,73.45,11482192,245011651,0.05,0.16
2022-02-02,67.88,12900989,245015973,0.05,0.19
2022-02-03,68.11,10208243,245038876,0.04,0.12
2022-02-04,77.31,12494088,245051622,0.05,0.20
2022-02-05,77.25,10326738,245135858,0.04,0.14
2022-02-06,78.76,6434286,245136941,0.03,0.05
2022-02-07,83.17,10971450,245201829,0.04,0.17
2022-02-08,86.62,25999407,245208053,0.11,0.97
2022-02-09,90.02,11699154,245288417,0.05,0.20
2022-02-10,91.14,17737666,245280079,0.07,0.48
2022-02-11,81.73,16190659,245278676,0.07,0.36
2022-02-12,81.25,13827166,245280359,0.06,0.26
2022-02-13,78.24,8652003,245302195,0.04,0.10
2022-02-14,82.02,10546261,245297763,0.04,0.15
2022-02-15,92.67,13736102,245295689,0.06,0.29
2022-02-16,95.35,18139749,245302568,0.07,0.52
2022-02-17,88.12,20406630,245303482,0.08,0.61
2022-02-18,83.84,15303790,245304551,0.06,0.33
